Order_ID,Order_Date,Customer_ID,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Cost,Sales,Profit,Region,State,Month,Month_Name
ORD00001,2025-11-05,C1654,P008,Cotton T-Shirt,Fashion,1,900,0.2,450,720.0,270.0,North,Uttar Pradesh,11,November
ORD00002,2025-01-13,C0852,P020,Bluetooth Speaker,Electronics,1,2800,0.15,1600,2380.0,780.0,Northeast,Assam,1,January
ORD00003,2025-06-23,C0935,P015,Coffee Maker,Home Appliances,2,5500,0.15,6800,9350.0,2550.0,Central,Chhattisgarh,6,June
ORD00004,2025-06-16,C1987,P011,Office Chair,Furniture,1,12000,0.15,8000,10200.0,2200.0,Central,Madhya Pradesh,6,June
ORD00005,2025-05-16,C0901,P003,Wireless Earbuds,Electronics,5,3500,0.1,10500,15750.0,5250.0,East,Odisha,5,May
ORD00006,2025-09-05,C1729,P003,Wireless Earbuds,Electronics,1,3500,0.0,2100,3500.0,1400.0,West,Rajasthan,9,September
ORD00007,2025-11-25,C0399,P002,Smartphone X,Electronics,2,32000,0.1,50000,57600.0,7600.0,South,Tamil Nadu,11,November
ORD00008,2025-10-01,C1370,P018,Water Bottle,Home & Kitchen,1,800,0.1,350,720.0,370.0,North,Punjab,10,October
ORD00009,2025-04-21,C1219,P012,Study Table,Furniture,3,8500,0.0,16800,25500.0,8700.0,North,Haryana,4,April
ORD00010,2025-02-08,C0168,P014,LED Desk Lamp,Furniture,2,1800,0.1,1800,3240.0,1440.0,East,Odisha,2,February
ORD00011,2025-12-19,C0377,P001,Laptop Pro 14,Electronics,1,65000,0.1,50000,58500.0,8500.0,East,Odisha,12,December
ORD00012,2025-03-30,C1513,P020,Bluetooth Speaker,Electronics,1,2800,0.1,1600,2520.0,920.0,West,Maharashtra,3,March
ORD00013,2025-11-10,C1775,P018,Water Bottle,Home & Kitchen,1,800,0.0,350,800.0,450.0,South,Andhra Pradesh,11,November
ORD00014,2025-04-11,C1386,P004,Mechanical Keyboard,Electronics,3,4500,0.1,8400,12150.0,3750.0,South,Andhra Pradesh,4,April
ORD00015,2025-08-09,C1506,P004,Mechanical Keyboard,Electronics,1,4500,0.05,2800,4275.0,1475.0,South,Tamil Nadu,8,August
ORD00016,2025-09-06,C1268,P004,Mechanical Keyboard,Electronics,2,4500,0.1,5600,8100.0,2500.0,South,Karnataka,9,September
ORD00017,2025-11-24,C1605,P006,Running Shoes,Fashion,2,4200,0.1,5000,7560.0,2560.0,South,Tamil Nadu,11,November
ORD00018,2025-11-06,C0607,P010,Smart Watch,Electronics,2,7500,0.05,9600,14250.0,4650.0,West,Goa,11,November
ORD00019,2025-01-28,C1011,P008,Cotton T-Shirt,Fashion,1,900,0.05,450,855.0,405.0,East,Bihar,1,January
ORD00020,2025-06-04,C0589,P006,Running Shoes,Fashion,1,4200,0.0,2500,4200.0,1700.0,North,Haryana,6,June
ORD00021,2025-04-29,C1195,P012,Study Table,Furniture,2,8500,0.15,11200,14450.0,3250.0,South,Karnataka,4,April
ORD00022,2025-06-07,C1537,P003,Wireless Earbuds,Electronics,1,3500,0.05,2100,3325.0,1225.0,South,Tamil Nadu,6,June
ORD00023,2025-03-02,C1430,P006,Running Shoes,Fashion,1,4200,0.15,2500,3570.0,1070.0,North,Uttar Pradesh,3,March
ORD00024,2025-12-15,C1598,P007,Denim Jacket,Fashion,1,3200,0.05,1900,3040.0,1140.0,East,Bihar,12,December
ORD00025,2025-02-19,C1231,P009,Backpack,Fashion,1,1800,0.0,950,1800.0,850.0,East,West Bengal,2,February
ORD00026,2025-10-26,C1178,P016,Air Fryer,Home Appliances,2,8500,0.0,10800,17000.0,6200.0,West,Maharashtra,10,October
ORD00027,2025-06-16,C1810,P004,Mechanical Keyboard,Electronics,1,4500,0.1,2800,4050.0,1250.0,South,Andhra Pradesh,6,June
ORD00028,2025-08-30,C0048,P010,Smart Watch,Electronics,2,7500,0.1,9600,13500.0,3900.0,South,Tamil Nadu,8,August
ORD00029,2025-08-23,C1673,P011,Office Chair,Furniture,3,12000,0.1,24000,32400.0,8400.0,West,Rajasthan,8,August
ORD00030,2025-03-30,C1025,P002,Smartphone X,Electronics,1,32000,0.1,25000,28800.0,3800.0,North,Uttar Pradesh,3,March
ORD00031,2025-06-09,C1771,P012,Study Table,Furniture,1,8500,0.1,5600,7650.0,2050.0,North,Delhi,6,June
ORD00032,2025-03-07,C1929,P003,Wireless Earbuds,Electronics,2,3500,0.1,4200,6300.0,2100.0,East,West Bengal,3,March
ORD00033,2025-09-03,C1792,P002,Smartphone X,Electronics,1,32000,0.1,25000,28800.0,3800.0,West,Goa,9,September
ORD00034,2025-02-04,C1431,P020,Bluetooth Speaker,Electronics,1,2800,0.0,1600,2800.0,1200.0,West,Maharashtra,2,February
ORD00035,2025-07-21,C1131,P020,Bluetooth Speaker,Electronics,1,2800,0.0,1600,2800.0,1200.0,Central,Chhattisgarh,7,July
ORD00036,2025-03-07,C0173,P017,Mixer Grinder,Home Appliances,1,6200,0.1,3900,5580.0,1680.0,East,West Bengal,3,March
ORD00037,2025-02-14,C0506,P006,Running Shoes,Fashion,3,4200,0.1,7500,11340.0,3840.0,Northeast,Assam,2,February
ORD00038,2025-08-01,C1154,P002,Smartphone X,Electronics,3,32000,0.0,75000,96000.0,21000.0,South,Telangana,8,August
ORD00039,2025-10-13,C0398,P014,LED Desk Lamp,Furniture,1,1800,0.05,900,1710.0,810.0,West,Gujarat,10,October
ORD00040,2025-05-27,C0294,P008,Cotton T-Shirt,Fashion,1,900,0.1,450,810.0,360.0,Northeast,Assam,5,May
ORD00041,2025-08-07,C0552,P003,Wireless Earbuds,Electronics,2,3500,0.15,4200,5950.0,1750.0,West,Maharashtra,8,August
ORD00042,2025-01-10,C1471,P009,Backpack,Fashion,3,1800,0.1,2850,4860.0,2010.0,Central,Madhya Pradesh,1,January
ORD00043,2025-12-20,C0850,P001,Laptop Pro 14,Electronics,3,65000,0.1,150000,175500.0,25500.0,South,Karnataka,12,December
ORD00044,2025-05-04,C1040,P019,Cookware Set,Home & Kitchen,1,4200,0.15,2500,3570.0,1070.0,West,Rajasthan,5,May
ORD00045,2025-11-28,C1663,P005,Monitor 27,Electronics,2,18000,0.1,25000,32400.0,7400.0,Central,Madhya Pradesh,11,November
ORD00046,2025-12-31,C0885,P014,LED Desk Lamp,Furniture,1,1800,0.15,900,1530.0,630.0,North,Punjab,12,December
ORD00047,2025-11-22,C1373,P006,Running Shoes,Fashion,1,4200,0.05,2500,3990.0,1490.0,North,Uttar Pradesh,11,November
ORD00048,2025-11-09,C1004,P010,Smart Watch,Electronics,1,7500,0.0,4800,7500.0,2700.0,North,Uttar Pradesh,11,November
ORD00049,2025-05-25,C1227,P010,Smart Watch,Electronics,2,7500,0.1,9600,13500.0,3900.0,North,Punjab,5,May
ORD00050,2025-02-08,C0134,P004,Mechanical Keyboard,Electronics,1,4500,0.2,2800,3600.0,800.0,South,Karnataka,2,February
ORD00051,2025-08-04,C0771,P020,Bluetooth Speaker,Electronics,1,2800,0.0,1600,2800.0,1200.0,South,Karnataka,8,August
ORD00052,2025-04-15,C1550,P016,Air Fryer,Home Appliances,1,8500,0.15,5400,7225.0,1825.0,South,Karnataka,4,April
ORD00053,2025-12-21,C0508,P020,Bluetooth Speaker,Electronics,1,2800,0.05,1600,2660.0,1060.0,South,Tamil Nadu,12,December
ORD00054,2025-06-22,C1090,P018,Water Bottle,Home & Kitchen,1,800,0.05,350,760.0,410.0,East,West Bengal,6,June
ORD00055,2025-01-13,C0480,P011,Office Chair,Furniture,1,12000,0.15,8000,10200.0,2200.0,Central,Madhya Pradesh,1,January
ORD00056,2025-09-10,C0863,P019,Cookware Set,Home & Kitchen,2,4200,0.05,5000,7980.0,2980.0,East,Bihar,9,September
ORD00057,2025-12-31,C0459,P002,Smartphone X,Electronics,2,32000,0.1,50000,57600.0,7600.0,South,Telangana,12,December
ORD00058,2025-10-08,C1366,P004,Mechanical Keyboard,Electronics,1,4500,0.05,2800,4275.0,1475.0,South,Telangana,10,October
ORD00059,2025-04-23,C1731,P002,Smartphone X,Electronics,2,32000,0.05,50000,60800.0,10800.0,East,West Bengal,4,April
ORD00060,2025-08-27,C0626,P007,Denim Jacket,Fashion,2,3200,0.1,3800,5760.0,1960.0,South,Telangana,8,August
ORD00061,2025-05-19,C0159,P008,Cotton T-Shirt,Fashion,4,900,0.05,1800,3420.0,1620.0,Central,Chhattisgarh,5,May
ORD00062,2025-07-01,C0161,P006,Running Shoes,Fashion,2,4200,0.0,5000,8400.0,3400.0,North,Delhi,7,July
ORD00063,2025-12-22,C1278,P017,Mixer Grinder,Home Appliances,2,6200,0.1,7800,11160.0,3360.0,Northeast,Assam,12,December
ORD00064,2025-09-14,C1921,P007,Denim Jacket,Fashion,1,3200,0.15,1900,2720.0,820.0,Central,Chhattisgarh,9,September
ORD00065,2025-01-28,C0940,P006,Running Shoes,Fashion,4,4200,0.05,10000,15960.0,5960.0,West,Rajasthan,1,January
ORD00066,2025-09-01,C1551,P010,Smart Watch,Electronics,1,7500,0.05,4800,7125.0,2325.0,North,Uttar Pradesh,9,September
ORD00067,2025-01-03,C1573,P003,Wireless Earbuds,Electronics,3,3500,0.0,6300,10500.0,4200.0,South,Tamil Nadu,1,January
ORD00068,2025-01-24,C0155,P017,Mixer Grinder,Home Appliances,1,6200,0.0,3900,6200.0,2300.0,South,Kerala,1,January
ORD00069,2025-05-28,C0486,P002,Smartphone X,Electronics,1,32000,0.2,25000,25600.0,600.0,South,Tamil Nadu,5,May
ORD00070,2025-12-13,C0432,P020,Bluetooth Speaker,Electronics,1,2800,0.15,1600,2380.0,780.0,West,Goa,12,December
ORD00071,2025-02-02,C1051,P016,Air Fryer,Home Appliances,4,8500,0.25,21600,25500.0,3900.0,South,Kerala,2,February
ORD00072,2025-10-21,C1004,P004,Mechanical Keyboard,Electronics,1,4500,0.15,2800,3825.0,1025.0,Central,Chhattisgarh,10,October
ORD00073,2025-08-12,C1036,P001,Laptop Pro 14,Electronics,2,65000,0.15,100000,110500.0,10500.0,West,Goa,8,August
ORD00074,2025-10-12,C0067,P017,Mixer Grinder,Home Appliances,2,6200,0.05,7800,11780.0,3980.0,North,Haryana,10,October
ORD00075,2025-10-04,C0542,P014,LED Desk Lamp,Furniture,1,1800,0.0,900,1800.0,900.0,Central,Chhattisgarh,10,October
ORD00076,2025-06-30,C0096,P015,Coffee Maker,Home Appliances,4,5500,0.15,13600,18700.0,5100.0,Northeast,Assam,6,June
ORD00077,2025-10-12,C0215,P016,Air Fryer,Home Appliances,2,8500,0.0,10800,17000.0,6200.0,North,Haryana,10,October
ORD00078,2025-07-19,C0194,P002,Smartphone X,Electronics,1,32000,0.15,25000,27200.0,2200.0,North,Uttar Pradesh,7,July
ORD00079,2025-08-21,C1671,P007,Denim Jacket,Fashion,1,3200,0.25,1900,2400.0,500.0,North,Delhi,8,August
ORD00080,2025-02-14,C1314,P003,Wireless Earbuds,Electronics,1,3500,0.2,2100,2800.0,700.0,West,Gujarat,2,February
ORD00081,2025-12-30,C1568,P018,Water Bottle,Home & Kitchen,1,800,0.1,350,720.0,370.0,East,Bihar,12,December
ORD00082,2025-10-04,C0885,P012,Study Table,Furniture,2,8500,0.15,11200,14450.0,3250.0,South,Karnataka,10,October
ORD00083,2025-02-19,C0039,P007,Denim Jacket,Fashion,1,3200,0.05,1900,3040.0,1140.0,Central,Madhya Pradesh,2,February
ORD00084,2025-04-02,C1888,P002,Smartphone X,Electronics,2,32000,0.0,50000,64000.0,14000.0,South,Tamil Nadu,4,April
ORD00085,2025-12-07,C0939,P006,Running Shoes,Fashion,4,4200,0.05,10000,15960.0,5960.0,North,Uttar Pradesh,12,December
ORD00086,2025-03-14,C0939,P007,Denim Jacket,Fashion,2,3200,0.0,3800,6400.0,2600.0,North,Haryana,3,March
ORD00087,2025-07-27,C0206,P015,Coffee Maker,Home Appliances,2,5500,0.2,6800,8800.0,2000.0,West,Goa,7,July
ORD00088,2025-07-22,C1923,P013,Bookshelf,Furniture,2,6500,0.05,8400,12350.0,3950.0,South,Andhra Pradesh,7,July
ORD00089,2025-07-30,C0942,P018,Water Bottle,Home & Kitchen,1,800,0.1,350,720.0,370.0,West,Maharashtra,7,July
ORD00090,2025-09-16,C1952,P009,Backpack,Fashion,2,1800,0.25,1900,2700.0,800.0,Central,Madhya Pradesh,9,September
ORD00091,2025-02-14,C0555,P003,Wireless Earbuds,Electronics,1,3500,0.15,2100,2975.0,875.0,North,Uttar Pradesh,2,February
ORD00092,2025-10-15,C0484,P014,LED Desk Lamp,Furniture,2,1800,0.1,1800,3240.0,1440.0,South,Kerala,10,October
ORD00093,2025-03-10,C1361,P016,Air Fryer,Home Appliances,2,8500,0.05,10800,16150.0,5350.0,East,Odisha,3,March
ORD00094,2025-12-17,C1520,P011,Office Chair,Furniture,5,12000,0.0,40000,60000.0,20000.0,East,Bihar,12,December
