Order_ID,Order_Date,Customer_ID,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Cost,Sales,Profit,Region,State
ORD00001,2025-11-05,C1654,P008,Cotton T-Shirt,Fashion,1,900,0.2,450,720.0,270.0,North,Uttar Pradesh
ORD00002,2025-01-13,C0852,P020,Bluetooth Speaker,Electronics,1,2800,0.15,1600,2380.0,780.0,Northeast,Assam
ORD00003,2025-06-23,C0935,P015,Coffee Maker,Home Appliances,2,5500,0.15,6800,9350.0,2550.0,Central,Chhattisgarh
ORD00004,2025-06-16,C1987,P011,Office Chair,Furniture,1,12000,0.15,8000,10200.0,2200.0,Central,Madhya Pradesh
ORD00005,2025-05-16,C0901,P003,Wireless Earbuds,Electronics,5,3500,0.1,10500,15750.0,5250.0,East,Odisha
ORD00006,2025-09-05,C1729,P003,Wireless Earbuds,Electronics,1,3500,0.0,2100,3500.0,1400.0,West,Rajasthan
ORD00007,2025-11-25,C0399,P002,Smartphone X,Electronics,2,32000,0.1,50000,57600.0,7600.0,South,Tamil Nadu
ORD00008,2025-10-01,C1370,P018,Water Bottle,Home & Kitchen,1,800,0.1,350,720.0,370.0,North,Punjab
ORD00009,2025-04-21,C1219,P012,Study Table,Furniture,3,8500,0.0,16800,25500.0,8700.0,North,Haryana
ORD00010,2025-02-08,C0168,P014,LED Desk Lamp,Furniture,2,1800,0.1,1800,3240.0,1440.0,East,Odisha
ORD00011,2025-12-19,C0377,P001,Laptop Pro 14,Electronics,1,65000,0.1,50000,58500.0,8500.0,East,Odisha
ORD00012,2025-03-30,C1513,P020,Bluetooth Speaker,Electronics,1,2800,0.1,1600,2520.0,920.0,West,Maharashtra
ORD00013,2025-11-10,C1775,P018,Water Bottle,Home & Kitchen,1,800,0.0,350,800.0,450.0,South,Andhra Pradesh
ORD00014,2025-04-11,C1386,P004,Mechanical Keyboard,Electronics,3,4500,0.1,8400,12150.0,3750.0,South,Andhra Pradesh
ORD00015,2025-08-09,C1506,P004,Mechanical Keyboard,Electronics,1,4500,0.05,2800,4275.0,1475.0,South,Tamil Nadu
ORD00016,2025-09-06,C1268,P004,Mechanical Keyboard,Electronics,2,4500,0.1,5600,8100.0,2500.0,South,Karnataka
ORD00017,2025-11-24,C1605,P006,Running Shoes,Fashion,2,4200,0.1,5000,7560.0,2560.0,South,Tamil Nadu
ORD00018,2025-11-06,C0607,P010,Smart Watch,Electronics,2,7500,0.05,9600,14250.0,4650.0,West,Goa
ORD00019,2025-01-28,C1011,P008,Cotton T-Shirt,Fashion,1,900,0.05,450,855.0,405.0,East,Bihar
ORD00020,2025-06-04,C0589,P006,Running Shoes,Fashion,1,4200,0.0,2500,4200.0,1700.0,North,Haryana
ORD00021,2025-04-29,C1195,P012,Study Table,Furniture,2,8500,0.15,11200,14450.0,3250.0,South,Karnataka
ORD00022,2025-06-07,C1537,P003,Wireless Earbuds,Electronics,1,3500,0.05,2100,3325.0,1225.0,South,Tamil Nadu
ORD00023,2025-03-02,C1430,P006,Running Shoes,Fashion,1,4200,0.15,2500,3570.0,1070.0,North,Uttar Pradesh
ORD00024,2025-12-15,C1598,P007,Denim Jacket,Fashion,1,3200,0.05,1900,3040.0,1140.0,East,Bihar
ORD00025,2025-02-19,C1231,P009,Backpack,Fashion,1,1800,0.0,950,1800.0,850.0,East,West Bengal
ORD00026,2025-10-26,C1178,P016,Air Fryer,Home Appliances,2,8500,0.0,10800,17000.0,6200.0,West,Maharashtra
ORD00027,2025-06-16,C1810,P004,Mechanical Keyboard,Electronics,1,4500,0.1,2800,4050.0,1250.0,South,Andhra Pradesh
ORD00028,2025-08-30,C0048,P010,Smart Watch,Electronics,2,7500,0.1,9600,13500.0,3900.0,South,Tamil Nadu
ORD00029,2025-08-23,C1673,P011,Office Chair,Furniture,3,12000,0.1,24000,32400.0,8400.0,West,Rajasthan
ORD00030,2025-03-30,C1025,P002,Smartphone X,Electronics,1,32000,0.1,25000,28800.0,3800.0,North,Uttar Pradesh
ORD00031,2025-06-09,C1771,P012,Study Table,Furniture,1,8500,0.1,5600,7650.0,2050.0,North,Delhi
ORD00032,2025-03-07,C1929,P003,Wireless Earbuds,Electronics,2,3500,0.1,4200,6300.0,2100.0,East,West Bengal
ORD00033,2025-09-03,C1792,P002,Smartphone X,Electronics,1,32000,0.1,25000,28800.0,3800.0,West,Goa
ORD00034,2025-02-04,C1431,P020,Bluetooth Speaker,Electronics,1,2800,0.0,1600,2800.0,1200.0,West,Maharashtra
ORD00035,2025-07-21,C1131,P020,Bluetooth Speaker,Electronics,1,2800,0.0,1600,2800.0,1200.0,Central,Chhattisgarh
ORD00036,2025-03-07,C0173,P017,Mixer Grinder,Home Appliances,1,6200,0.1,3900,5580.0,1680.0,East,West Bengal
ORD00037,2025-02-14,C0506,P006,Running Shoes,Fashion,3,4200,0.1,7500,11340.0,3840.0,Northeast,Assam
ORD00038,2025-08-01,C1154,P002,Smartphone X,Electronics,3,32000,0.0,75000,96000.0,21000.0,South,Telangana
ORD00039,2025-10-13,C0398,P014,LED Desk Lamp,Furniture,1,1800,0.05,900,1710.0,810.0,West,Gujarat
ORD00040,2025-05-27,C0294,P008,Cotton T-Shirt,Fashion,1,900,0.1,450,810.0,360.0,Northeast,Assam
ORD00041,2025-08-07,C0552,P003,Wireless Earbuds,Electronics,2,3500,0.15,4200,5950.0,1750.0,West,Maharashtra
ORD00042,2025-01-10,C1471,P009,Backpack,Fashion,3,1800,0.1,2850,4860.0,2010.0,Central,Madhya Pradesh
ORD00043,2025-12-20,C0850,P001,Laptop Pro 14,Electronics,3,65000,0.1,150000,175500.0,25500.0,South,Karnataka
ORD00044,2025-05-04,C1040,P019,Cookware Set,Home & Kitchen,1,4200,0.15,2500,3570.0,1070.0,West,Rajasthan
ORD00045,2025-11-28,C1663,P005,Monitor 27,Electronics,2,18000,0.1,25000,32400.0,7400.0,Central,Madhya Pradesh
ORD00046,2025-12-31,C0885,P014,LED Desk Lamp,Furniture,1,1800,0.15,900,1530.0,630.0,North,Punjab
ORD00047,2025-11-22,C1373,P006,Running Shoes,Fashion,1,4200,0.05,2500,3990.0,1490.0,North,Uttar Pradesh
ORD00048,2025-11-09,C1004,P010,Smart Watch,Electronics,1,7500,0.0,4800,7500.0,2700.0,North,Uttar Pradesh
ORD00049,2025-05-25,C1227,P010,Smart Watch,Electronics,2,7500,0.1,9600,13500.0,3900.0,North,Punjab
ORD00050,2025-02-08,C0134,P004,Mechanical Keyboard,Electronics,1,4500,0.2,2800,3600.0,800.0,South,Karnataka
ORD00051,2025-08-04,C0771,P020,Bluetooth Speaker,Electronics,1,2800,0.0,1600,2800.0,1200.0,South,Karnataka
ORD00052,2025-04-15,C1550,P016,Air Fryer,Home Appliances,1,8500,0.15,5400,7225.0,1825.0,South,Karnataka
ORD00053,2025-12-21,C0508,P020,Bluetooth Speaker,Electronics,1,2800,0.05,1600,2660.0,1060.0,South,Tamil Nadu
